"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"MEX","Mexico","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,15.3,,
"MEX","Mexico","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,16.1,,
"NLD","Netherlands","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,19.4,,
"NLD","Netherlands","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,19,,
"NLD","Netherlands","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,24,,
"NLD","Netherlands","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,23.3,,
"NZL","New Zealand","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,18.1,,
"NZL","New Zealand","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,17.5,,
"NZL","New Zealand","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,20.8,,
"NZL","New Zealand","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,20.1,,
"NOR","Norway","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,18.9,,
"NOR","Norway","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,18.5,,
"NOR","Norway","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,22.2,,
"NOR","Norway","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,21.8,,
"POL","Poland","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,17.6,,
"POL","Poland","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,17.3,,
"POL","Poland","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,24.5,,
"POL","Poland","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,23.8,,
"PRT","Portugal","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,16.4,,
"PRT","Portugal","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,16.6,,
"PRT","Portugal","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,21.4,,
"PRT","Portugal","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2012","2012","YR","Years","0","Units",,,20.7,,
"SVK","Slovak Republic","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2010","2010","YR","Years","0","Units",,,17.6,,
"SVK","Slovak Republic","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2012","2012","YR","Years","0","Units",,,17.2,,
"SVK","Slovak Republic","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2010","2010","YR","Years","0","Units",,,25.2,,
