"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2006","2006","YR","Years","0","Units",,,22.4,,
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2007","2007","YR","Years","0","Units",,,22.4,,
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2008","2008","YR","Years","0","Units",,,22.4,,
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2009","2009","YR","Years","0","Units",,,22.5,,
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2011","2011","YR","Years","0","Units",,,22.7,,
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2013","2013","YR","Years","0","Units",,,22.4,,
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2015","2015","YR","Years","0","Units",,,22.7,,
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2016","2016","YR","Years","0","Units",,,22.6,,
"GBR","United Kingdom","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2017","2017","YR","Years","0","Units",,,19,,
"GBR","United Kingdom","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2018","2018","YR","Years","0","Units",,,18.9,,
"GBR","United Kingdom","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2017","2017","YR","Years","0","Units",,,22.4,,
"GBR","United Kingdom","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2018","2018","YR","Years","0","Units",,,22.2,,
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2017","2017","YR","Years","0","Units",,,17.9,,
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","MEN","Men","TOTAL","Total","2018","2018","YR","Years","0","Units",,,17.8,,
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2017","2017","YR","Years","0","Units",,,22.6,,
"OAVG","OECD - Average","EMP16","Expected number of years in retirement, by sex","WOMEN","Women","TOTAL","Total","2018","2018","YR","Years","0","Units",,,22.5,,
